Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-A]-LYCRA-MASCULINA,,lycra surf masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-A]-LYCRA-MASCULINA,,camisa de surfista masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-A]-LYCRA-MASCULINA,,camisa de surf masculina manga curta,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-A]-LYCRA-MASCULINA,,camisa de lycra masculina uv50,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,lycra surf feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camisetas femininas surf,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra surf feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta para surf feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,blusa surf feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra feminina secagem rápida,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra feminina para beach tennis,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,comprar camiseta lycra feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta esportiva feminina proteção solar,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra segunda pele feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra feminina modelagem anatômica,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camisa de lycra feminina uv50,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra feminina uv50,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,,[006-B]-LYCRA-FEMININA,,camiseta lycra feminina para corrida,Phrase match,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-LYCRA-GENERICO,349388089564,lycra surf masculina,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-LYCRA-GENERICO,1663507766063,camisa de surfista masculina,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-LYCRA-GENERICO,2421701992276,camisa de surf masculina manga curta,,,,,,,,,
Keyword,Remove,,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-LYCRA-GENERICO,2496743000145,camisa de lycra masculina uv50,,,,,,,,,
